#{"t_start": 1615253180.0972133, "env_id": "commonroad-v0"}
r,l,t,is_collision,is_time_out,is_off_road,is_back_collision,is_goal_reached,scenario_name
-50.883129,200,2622.65793,0,1,0,0,0,DEU_AAH-1_80061_T-1
65.7,135,2640.348825,0,0,0,0,1,DEU_AAH-1_90099_T-1
65.3,144,2656.976921,0,0,0,0,1,DEU_AAH-1_90099_T-1
-29.274901,291,2682.000872,0,1,0,0,0,DEU_AAH-1_130034_T-1
64.8,180,2704.903451,0,0,0,0,1,DEU_AAH-1_80014_T-1
65.096236,168,2726.29022,0,0,0,0,1,DEU_AAH-1_160072_T-1
-40.761358,219,2755.701686,0,1,0,0,0,DEU_AAH-1_160024_T-1
65.6,138,2769.041876,0,0,0,0,1,DEU_AAH-1_110011_T-1
-17.20368,132,2791.683626,0,0,0,1,0,DEU_AAH-1_90057_T-1
-15.139852,139,2811.925797,0,0,0,1,0,DEU_AAH-1_90036_T-1
-23.768142,247,2844.35894,0,1,0,0,0,DEU_AAH-1_90030_T-1
64.886603,148,2876.876302,0,0,0,0,1,DEU_AAH-1_180026_T-1
64.6,173,2896.415935,0,0,0,0,1,DEU_AAH-1_80078_T-1
64.9,196,2924.222325,0,0,0,0,1,DEU_AAH-1_1300110_T-1
-36.181334,302,2940.680189,0,1,0,0,0,DEU_AAH-1_120060_T-1
65.5,144,2958.917466,0,0,0,0,1,DEU_AAH-1_110035_T-1
64.9,153,2979.986063,0,0,0,0,1,DEU_AAH-1_90081_T-1
-0.691869,73,2991.789334,0,0,0,0,0,DEU_AAH-1_170079_T-1
62.8,153,3016.032193,0,0,0,0,1,DEU_AAH-1_90096_T-1
65.3,163,3044.003626,0,0,0,0,1,DEU_AAH-1_100022_T-1
-12.222881,183,3059.30621,0,1,0,0,0,DEU_AAH-1_120056_T-1
7.393593,77,3068.616613,0,0,0,0,0,DEU_AAH-1_800151_T-1
8.947137,66,3082.728822,0,0,0,0,0,DEU_AAH-1_90053_T-1
-7.628892,201,3115.594255,0,1,0,0,0,DEU_AAH-1_80018_T-1
-15.963548,177,3134.711623,0,1,0,0,0,DEU_AAH-1_90046_T-1
1.305298,180,3152.248465,0,1,0,0,0,DEU_AAH-1_90028_T-1
-6.158745,155,3170.930119,0,0,0,0,0,DEU_AAH-1_110055_T-1
-17.699368,73,3180.738821,0,0,0,1,0,DEU_AAH-1_1100145_T-1
4.361846,79,3194.336373,0,0,0,0,0,DEU_AAH-1_90046_T-1
-27.494312,253,3211.841531,0,1,0,0,0,DEU_AAH-1_100099_T-1
1.197034,67,3230.639404,0,0,0,0,0,DEU_AAH-1_180028_T-1
4.047751,77,3249.285867,0,0,0,0,0,DEU_AAH-1_100056_T-1
-71.351664,245,3273.463036,0,0,1,0,0,DEU_AAH-1_110063_T-1
-13.517823,110,3297.643279,0,0,0,1,0,DEU_AAH-1_100092_T-1
63.6,157,3322.071937,0,0,0,0,1,DEU_AAH-1_90096_T-1
65.6,138,3336.944712,0,0,0,0,1,DEU_AAH-1_100027_T-1
-53.614765,310,3381.723667,0,1,0,0,0,DEU_AAH-1_80019_T-1
-4.655185,180,3401.934166,0,1,0,0,0,DEU_AAH-1_110093_T-1
58.4,190,3429.497617,0,0,0,0,1,DEU_AAH-1_90057_T-1
-18.261521,188,3453.728081,0,1,0,0,0,DEU_AAH-1_80011_T-1
-40.650161,234,3481.011844,0,1,0,0,0,DEU_AAH-1_140016_T-1
-6.873812,181,3507.392783,0,1,0,0,0,DEU_AAH-1_110015_T-1
-4.714878,78,3525.892712,0,0,0,0,0,DEU_AAH-1_80065_T-1
68.7,91,3547.51598,0,0,0,0,1,DEU_AAH-1_120039_T-1
-32.915701,247,3577.754036,0,0,0,1,0,DEU_AAH-1_90019_T-1
-8.887234,82,3592.989888,1,0,0,0,0,DEU_AAH-1_110067_T-1
64.9,187,3619.908915,0,0,0,0,1,DEU_AAH-1_150036_T-1
65.0,180,3650.632032,0,0,0,0,1,DEU_AAH-1_180080_T-1
66.2,153,3664.165471,0,0,0,0,1,DEU_AAH-1_100024_T-1
-1.644081,44,3682.739512,0,0,0,0,0,DEU_AAH-1_140044_T-1
-17.522827,67,3694.483849,0,0,0,1,0,DEU_AAH-1_110064_T-1
65.3,150,3718.822829,0,0,0,0,1,DEU_AAH-1_90081_T-1
3.732196,114,3738.686461,0,0,0,0,0,DEU_AAH-1_100041_T-1
66.2,133,3751.621022,0,0,0,0,1,DEU_AAH-1_110082_T-1
-18.535037,118,3769.566282,0,0,0,1,0,DEU_AAH-1_110062_T-1
-37.837903,113,3781.245198,0,0,0,1,0,DEU_AAH-1_80065_T-1
70.0,50,3790.248194,0,0,0,0,1,DEU_AAH-1_170026_T-1
-20.164925,134,3804.540025,1,0,0,0,0,DEU_AAH-1_100052_T-1
65.6,137,3820.20405,0,0,0,0,1,DEU_AAH-1_110047_T-1
64.9,167,3842.629057,0,0,0,0,1,DEU_AAH-1_120038_T-1
-12.87836,291,3871.817574,0,1,0,0,0,DEU_AAH-1_130034_T-1
-60.548836,209,3893.045096,0,0,0,0,0,DEU_AAH-1_80029_T-1
-29.574233,226,3919.602972,0,1,0,0,0,DEU_AAH-1_160061_T-1
-21.381157,298,3949.888885,0,1,0,0,0,DEU_AAH-1_900108_T-1
-4.878162,202,3979.169024,0,1,0,0,0,DEU_AAH-1_100091_T-1
